,STATION_NM,dec_lat_va,dec_long_v,DTdeparsed,WLA_DEM,Date
0,JL-49-13-509,31.815556,-106.434167,7/27/1913,3686.72,1913-07-27
1,JL-49-13-521,31.826944,-106.425,10/20/1915,3688.98,1915-10-20
2,JL-49-13-816,31.788611,-106.453334,5/19/1919,3673.88,1919-05-19
3,JL-49-13-523,31.826944,-106.422778,1/6/1920,3660.38,1920-01-06
4,20N.08E.15.134,35.96611111,-106.0866667,5/3/1921,5571.08,1921-05-03
5,JL-49-13-518,31.7975,-106.434722,8/30/1921,3645.5,1921-08-30
6,JL-49-13-719,31.757778,-106.473889,5/17/1925,3697.59,1925-05-17
7,JL-49-13-906,31.768055,-106.403056,3/20/1929,3679.22,1929-03-20
8,JL-49-13-924,31.770278,-106.398334,1/6/1930,3705.52,1930-01-06
9,JL-49-13-911,31.767778,-106.398334,1/2/1931,3678.84,1931-01-02
10,JL-49-13-512,31.827222,-106.425,2/25/1931,3694.5,1931-02-25
11,JL-49-13-502,31.826667,-106.421944,10/1/1931,3687.32,1931-10-01
12,JL-49-13-809,31.783055,-106.437222,3/22/1933,3646.53,1933-03-22
13,JL-49-13-708,31.753889,-106.486389,4/23/1933,3703.87,1933-04-23
14,NA03500823BBB,37.53000309,-106.0683599,9/24/1934,7554.63,1934-09-24
15,JL-49-13-805,31.781389,-106.425833,10/19/1934,3680.51,1934-10-19
16,JL-49-13-804,31.780555,-106.436945,11/19/1934,3666.15,1934-11-19
17,JL-49-13-709,31.752501,-106.481111,12/22/1934,3693.54,1934-12-22
18,JL-49-13-801,31.771944,-106.453889,12/22/1934,3678.67,1934-12-22
19,JL-49-13-716,31.766112,-106.470833,1/5/1935,3705.94,1935-01-05
20,JL-49-13-717,31.755556,-106.480555,1/7/1935,3676.55,1935-01-07
21,JL-49-13-723,31.753334,-106.490834,8/2/1935,3701.3,1935-08-02
22,JL-49-13-501,31.826667,-106.426111,8/6/1935,3683.94,1935-08-06
23,JL-49-13-310,31.866112,-106.403334,8/7/1935,3692.56,1935-08-07
24,JL-49-05-313,31.960278,-106.400278,8/9/1935,3711.54,1935-08-09
25,JL-49-13-720,31.753334,-106.490834,8/20/1935,3703.6,1935-08-20
26,JL-49-13-722,31.753334,-106.490834,8/20/1935,3698.6,1935-08-20
27,JL-49-21-103,31.749167,-106.482222,8/23/1935,3701.76,1935-08-23
28,JL-49-13-923,31.770278,-106.398334,8/28/1935,3690.62,1935-08-28
29,JL-49-13-904,31.768333,-106.398334,8/28/1935,3688.83,1935-08-28
30,JL-49-13-817,31.783055,-106.437222,9/27/1935,3661.56,1935-09-27
31,JL-49-04-134,31.981389,-106.589722,9/28/1935,3789.91,1935-09-28
32,JL-49-13-807,31.78705261,-106.4344304,11/11/1935,3671.41,1935-11-11
33,JL-49-13-401,31.803056,-106.461667,11/20/1935,3686.67,1935-11-20
34,JL-49-13-515,31.799167,-106.434722,11/20/1935,3675.3,1935-11-20
35,JL-49-13-508,31.815556,-106.434167,11/20/1935,3670.82,1935-11-20
36,JL-49-07-802,31.893611,-106.200556,3/30/1936,3702.35,1936-03-30
37,JL-49-32-301,31.609167,-106.011945,4/2/1936,3629.57,1936-04-02
38,JL-49-06-502,31.943889,-106.323333,4/3/1936,3717.29,1936-04-03
39,JL-49-15-901,31.758889,-106.151389,4/10/1936,3673.8,1936-04-10
